date,id,tweet
2022-05-30 23:57:24+00:00,1531424571353886721,"Jumat dan Senin itu jadwal tetap aku kuliah tatap muka. Nah, Jumat minggu lalu, habis pulang kuliah, aku main ke kosan teman. 

Sabtunya, aku balik ke rumah nenek. Di rumah nenek, aku ceritain tentang teman-temanku.

""Yang punya kosan ni dia kadang dijemput teman yang lain..."" -"
2022-05-30 23:45:06+00:00,1531421474464350208,@prnmaaaa @banjarbase Tapi ku tiap bulan tatap muka lawan psikiater 🫶
2022-05-30 23:44:05+00:00,1531421219203203072,"@bayu_joo Nyapu dalem rumah, gatau kenapa maleeeeesss bgt tatap muka sama debu. Padahal lagi di rumah. Belajar di rumah aja disebutnya bdr 😪"
2022-05-30 23:21:31+00:00,1531415537820938240,Alhamdulillah sebentar lagi si kecil keponakan tante tersayang masuk TK syuhada. smoga sekolah bisa tatap muka seperti dahulu kala ya nak 😘🥰 https://t.co/AdwX21YR9V
2022-05-30 22:29:06+00:00,1531402349666705409,"@ohmybeautybank Gue pakai kemeja kakak gue, karena tiba-tiba aja dibilang tatap muka dari kampus jadi gak sempat beli baju buat kuliah."
2022-05-30 22:28:39+00:00,1531402235208269824,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/HouKtsrbOc Puan Peduli Wong Cilik"
2022-05-30 22:13:09+00:00,1531398332345507841,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/oRx64KdVcN Puan Peduli Wong Cilik"
2022-05-30 20:46:11+00:00,1531376446467604480,"Layanan ini diberikan secara tatap muka di ruang helpdesk khusus PPS KP2KP Sanana, Desa Fogi, Kabupaten Kepulauan Sula.

Wajib Pajak Orang Pribadi yang hendak mengikuti PPS tersebut adalah salah satu pengusaha yang berada di Kabupaten Kepulauan Sula. https://t.co/4cSTVINm05"
2022-05-30 20:42:34+00:00,1531375539487150080,"Ya Allah dosen gue yang selama ini 4 semester ngajar onlen, trs kmaren pertama kali tatap muka, kek ..... nightmare bet😭 tiap semester beliau marah marahnya via onlen kek masi aman lah mental gue, kemaren dimarahin secara offline kek BSWUSBWUWHWHSHSU takut bgt loowwwcchh😭😭"
2022-05-30 20:35:28+00:00,1531373750406774784,"pok,  kalau rezeki tu milik aku. aku nak jumpa kau dalam mimpi pok nak dengar lawak"" kau nak tatap muka kau nak peluk kau puas"" pok. selamat lena pok ❤️ https://t.co/71VQlOrM0e"
2022-05-30 18:52:52+00:00,1531347929339789312,"Terus juga berharap bisa bahagia di Padang, hmm awal masuk kuliah Masi baik baik ajaaa, Masi ngerasa wihhh seru ya kuliah,wihh seru ya dapat banyak teman,dapat teman baruu, tapi waktu awal kuliah Masi suasana online ,Masi belum ketemu tatap muka dan Masi belum ke Padang"
2022-05-30 18:48:53+00:00,1531346929707151361,Trus ni orang sama orang yg gue tau ini ketemunya tanggal 10 april bulan lalu shay... baru sebulanan dan belum ketemu tatap muka anjiiiir... ih bingung gue... ini yg di maksud gamungkin temen yg gue kenal siiih
2022-05-30 18:27:55+00:00,1531341651645386752,"@sikucingmalas @utfess uo tuh ujian online, tp lo dtg ke lokasi ujian tatap muka tp ngerjainnya soal2 online (dr komputer soal pg)
kalo uas THE baru dh lo uas tp dr rmh"
2022-05-30 17:49:05+00:00,1531331880905490432,"tatap muka ofc, w gasuka yang damai damai gitu dah. pengen nyari keributan https://t.co/nmbZfvwGUC"
2022-05-30 17:13:32+00:00,1531322931355463685,"Acara ini dilaksanakan secara offline/tatap muka.
Yang dihadiri oleh : 
Rektor IBM asmi
 - Dr. Freddy J. Rumambi M.M,
Warek I
 - Drs Medi Purnomo, S.E, M.M,
Warek II
 - Dr. Rudianto, S.E, M.M,
Warek III
 - Khairul Anwar S.E, M.M,
beserta para jajaran serta Bapak/Ibu dosen lainnya https://t.co/fQuJ30SQTC"
2022-05-30 17:10:50+00:00,1531322253211684864,"@jenjaeminn semoga cepet tenang ya, lupain yukk coba streaming beatbox atau gk tatap muka jaemin sprti di bawahh 🫶🏻🫶🏻 https://t.co/ePkfu49rob"
2022-05-30 17:10:23+00:00,1531322139349241856,@renegadcs Uas aing masalahna ges tatap muka tot
